,Unnamed: 0,Tweet,Tweet_cleaned,Emojis,Tweet_len,sentiment,Annotation,label,my_labels,aws_sentiment
18,18,@_zilzall1 اللي يشتري من ستاربكس هطف,zilzall اللي يشتري ستاربكس هطف,,5,positive,-1,1,neutral,NEUTRAL
19,19,@_zilzall1 مقاطعة ستاربكس واجب ديني واخلاقي,zilzall مقاطعة ستاربكس واجب ديني واخلاقي,,6,positive,-1,1,positive,NEUTRAL
20,20,@_zlllo تفهمي كفايه خوف من المجتمع اسوء القهاوي عند دانكن,zlllo تفهمي كفايه خوف المجتمع اسوء القهاوي دانكن,,8,negative,-1,-1,negative,NEGATIVE
21,21,@_zlllo دانكن مو حلو عادي,zlllo دانكن مو حلو عادي,,5,negative,-1,-1,positive,NEUTRAL
22,22,@0hanamohamed0 ولا عاوزة اروحه يا ستي المندرة و دانكن ف جملة واحدة😭😭😭😭😭😭,عاوزة اروحه ستي المندرة دانكن جملة واحدة,['😭'],7,positive,-1,1,negative,NEUTRAL
23,23,@0sullyoon ايوا 😭😭 ، بس انا جربت حق ستاربكس صراحة سيء جدًا,ايوا انا جربت حق ستاربكس سيء,['😭'],6,negative,-1,-1,negative,NEGATIVE
24,24,@1__bz هذا توني شريته كنت طايحه اول على بن دانكن https://t.co/HpVHMbfKhi,bz توني شريته كنت طايحه دانكن,,6,negative,-1,-1,neutral,POSITIVE
25,25,@11pmo احس مشروبات ستاربكس كلها نفس الطعم,احس مشروبات ستاربكس كلها الطعم,,5,negative,-1,-1,positive,POSITIVE
26,26,@11spectacular دانكن ماعندهم الا البلاك كوفي الحلوه,دانكن ماعندهم البلاك كوفي الحلوه,,5,negative,-1,-1,negative,NEUTRAL
27,27,@12Vuo ستاربكس وحق اختي وكلهم سوو لي مغص😭😭,ستاربكس وحق اختي وكلهم سوو مغص,['😭'],6,negative,-1,-1,negative,NEUTRAL
28,28,@13Rashes هاف مليون معن قهوتهم مجانا اليوم لا تجي,هاف معن قهوتهم مجانا تجي,,5,positive,-1,1,neutral,NEUTRAL
29,29,@192nt @itsl6_ فعلًا أغلب مشروبات دانكن سيئة,فعلا اغلب مشروبات دانكن سيئة,,5,negative,-1,-1,negative,NEGATIVE
30,30,@1H__m__H1 دانكن ، بارنز جربت كذا مشروب وماجاز لي,m H دانكن بارنز جربت مشروب وماجاز,,7,negative,-1,-1,neutral,NEUTRAL
31,31,@1IGil الظروف حدتني الى أقرب قهوة وللأسف كانت ستاربكس,الظروف حدتني اقرب قهوة وللاسف ستاربكس,,6,positive,-1,1,negative,NEGATIVE
32,32,@1iTariq ماابغا دانكن اتمنى بطاقه العثيم ٥٠٠ ارجوك,ماابغا دانكن اتمنى بطاقه العثيم ارجوك,,6,negative,-1,-1,neutral,NEUTRAL
33,33,@1li_al هههههههههههههههههههههه هههههههههههههههههههههه ماحسني مره مع ستاربكس,al هههههههههههههههههههههه هههههههههههههههههههههه ماحسني مره ستاربكس,,6,negative,-1,-1,negative,POSITIVE
34,34,@1rrr1_r @overdose_coffe @DunkinDonutsKSA دانكن ليش ليششش كذا 💔💔💔,r دانكن ليش ليششش,['💔'],4,negative,-1,-1,negative,NEUTRAL
35,35,@1Thenightbird دا نسكافيه بس طعمه وييييع 😂,دا نسكافيه طعمه وييييع,['😂'],4,positive,-1,1,negative,NEGATIVE
36,36,@1v2v5 @gorgeous4ew الحين ستاربكس رفاهيه !,الحين ستاربكس رفاهيه,,3,positive,-1,1,negative,POSITIVE
37,37,@1weejj @vz1_7 طعمه طعم حنا او سدر ، وحق ستاربكس اعطيه 10/0,طعمه طعم حنا سدر وحق ستاربكس اعطيه,,7,positive,-1,1,negative,NEGATIVE
38,38,@1xtri لا تشترين حقت ستاربكس ميزتها تعدم لك ام الطعم,تشترين حقت ستاربكس ميزتها تعدم ام الطعم,,7,negative,-1,-1,negative,NEGATIVE
39,39,@2_K44 المشكله دانكن ماعنده v60,K المشكله دانكن ماعنده v,,5,negative,-1,-1,negative,NEGATIVE
40,40,@200iill ما تعجبني الكبسولات بس اقدر اوصيك لا تستخدمي حقت ستاربكس خايسه,تعجبني الكبسولات اقدر اوصيك تستخدمي حقت ستاربكس خايسه,,8,positive,-1,1,negative,POSITIVE
41,41,@24Cisse @DunkinDonutsKSA اخيس شي حقت ستاربكس,اخيس شي حقت ستاربكس,,4,negative,-1,-1,negative,POSITIVE
42,42,"@2andeeel معرفش بجد
حتى ستاربكس بقا معفن 😂",معرفش بجد ستاربكس بقا معفن,['😂'],5,positive,-1,1,negative,NEUTRAL
43,43,@2ax1_ بديت احس ستاربكس فيه عرض القبيله الفلانيه,بديت احس ستاربكس عرض القبيله الفلانيه,,6,negative,-1,-1,negative,NEUTRAL
44,44,@2ilji8 حق ستاربكس مو حلو كأنه سدر 🤮,حق ستاربكس مو حلو كانه سدر,['🤮'],6,positive,-1,1,neutral,POSITIVE
45,45,@2ler9 حتى قهوه ستاربكس غاليه اخذلج ثلاثه بواحد ارخص ١٥٠ فلس,قهوه ستاربكس غاليه اخذلج ثلاثه بواحد ارخص,,7,positive,-1,1,negative,NEUTRAL
46,46,@2shdf ستاربكس اغلى منه وبدون مق سعر كويس طيب,ستاربكس اغلى وبدون مق سعر كويس طيب,,7,positive,-1,1,neutral,POSITIVE
47,47,@2Urer اكره ستاربكس بس ذالشي لازم يصدرونه لنا,اكره ستاربكس ذالشي لازم يصدرونه,,5,negative,-1,-1,negative,NEGATIVE
48,48,@2vrer بكره دانكن لاتنسى😭,بكره دانكن لاتنسى,['😭'],3,negative,-1,-1,positive,NEUTRAL
49,49,"@30junH حطي نسكافيه مع الشامبو واغسليه زين 
حاولي الشامبو يكون ثقيل",حطي نسكافيه الشامبو واغسليه زين حاولي الشامبو ثقيل,,8,positive,-1,1,neutral,NEUTRAL
50,50,@3anbarpasha شربت نسكافيه بس مش عامل حاجه 😅,شربت نسكافيه مش عامل حاجه,['😅'],5,positive,-1,1,negative,NEGATIVE
51,51,@4iicf اسوء ماتشا حقت ستاربكس !,اسوء ماتشا حقت ستاربكس,,4,negative,-1,-1,negative,NEGATIVE
52,52,@4Makiz ههههههههههههههههههههههههههه ماعرف اطلب من ستاربكس لاني ماحبه,ههههههههههههههههههههههههههه ماعرف اطلب ستاربكس لاني ماحبه,,6,negative,-1,-1,neutral,POSITIVE
53,53,@5vifl حتى دانكن ماعطانا شيء هالسنه,دانكن ماعطانا شيء هالسنه,,4,negative,-1,-1,negative,NEUTRAL
54,54,@6_ile1 انا مايعجبني دانكن استار بكس احلى,ile انا مايعجبني دانكن استار بكس احلى,,7,negative,-1,-1,negative,POSITIVE
55,55,@6o6aXx ماتشا ستاربكس لسى ماجربته تقييمك لطعم الحنا؟ https://t.co/kcKLy7hJds,ماتشا ستاربكس لسى ماجربته تقييمك لطعم الحنا,,7,negative,-1,-1,neutral,NEUTRAL
56,56,@6oux1 ستاربكس دايم اخر الحلول,ستاربكس دايم اخر الحلول,,4,negative,-1,-1,neutral,NEUTRAL
57,57,@76ixz المحنه اللي يشتري من دانكن الله يديم النعمه,المحنه اللي يشتري دانكن الله يديم النعمه,,7,positive,-1,1,negative,POSITIVE
58,58,@7Calisi بالأساس الأمريكانو سيء فما بالك إذا كان من عند ستاربكس,بالاساس الامريكانو سيء فما بالك ستاربكس,,6,negative,-1,-1,negative,NEGATIVE
59,59,@7ItsNotMe ذقت حق دانكن بعد ثلاث توصيات وطلع سيء,ذقت حق دانكن توصيات وطلع سيء,,6,negative,-1,-1,negative,NEGATIVE
60,60,@7sitfc_ V60 ومن دانكن بعد انا قايل ان ذا سبك من زماان,V دانكن انا قايل سبك زماان,,6,negative,-1,-1,negative,NEGATIVE
61,61,@7sitfc_ المشكله دانكن ماعندهم v60😭😭😭,المشكله دانكن ماعندهم v,['😭'],4,negative,-1,-1,negative,NEGATIVE
62,62,@7sitfc_ تدري وش المشكله ؟ دانكن مايبيع V60,تدري وش المشكله دانكن مايبيع V,,6,negative,-1,-1,negative,NEGATIVE
63,63,"@7TTTK كيس نسكافيه وطلع منتهي الصلاحيه وكبتو
🙁😭 وما شربت نسكافية",كيس نسكافيه وطلع منتهي الصلاحيه وكبتو شربت نسكافية,"['🙁', '😭']",8,positive,-1,1,negative,NEGATIVE
64,64,@7uitd مااحب اجرب شي من دانكن غير البلاك,مااحب اجرب شي دانكن البلاك,,5,negative,-1,-1,neutral,POSITIVE
65,65,@84_voov ياحض دانكن✨🥺,voov ياحض دانكن,"['✨', '🥺']",3,negative,-1,-1,positive,NEUTRAL
66,66,@8xiz3 اي احس ستاربكس ماش ماضبطوه عشان كذا ماعجبني,احس ستاربكس ماش ماضبطوه عشان ماعجبني,,6,negative,-1,-1,negative,POSITIVE
67,67,@a_alfadle9 صدقيني كان اخس ستاربكس شربته😔..,صدقيني اخس ستاربكس شربته,['😔'],4,positive,-1,1,negative,NEUTRAL
68,68,@A_Alwohaibi @FarajFE كأنكم ماتدرون ان ستاربكس صارت من ضمن صندوق الاستثمار السعودي,كانكم ماتدرون ستاربكس صارت صندوق الاستثمار السعودي,,7,negative,-1,-1,negative,NEUTRAL
69,69,@a_blli كيف تاخذه من ستاربكس اين عقلك,تاخذه ستاربكس اين عقلك,,4,positive,-1,1,negative,NEUTRAL
70,70,@A_nnmf نفس نظام ستاربكس اللي دفعت لهم 47 على عصير طعمه كرتون,نظام ستاربكس اللي دفعت عصير طعمه كرتون,,7,positive,-1,1,negative,NEUTRAL
71,71,@A8_Bor3i @Chezor12 شف خذها قاعد في حياتك لاتطلب اي مشروب بارد من دانكن,شف خذها قاعد حياتك لاتطلب مشروب بارد دانكن,,8,negative,-1,-1,neutral,NEUTRAL
72,72,@aaj331a مع انهم يسبون حق ستاربكس,انهم يسبون حق ستاربكس,,4,positive,-1,1,negative,POSITIVE
73,73,@aalshehrimd حامضه وتوجع المعده فيه اماكن افضل من دانكن.,حامضه وتوجع المعده اماكن افضل دانكن,,6,negative,-1,-1,neutral,POSITIVE
74,74,@aaq__50 دانكن بيحترق ابعديه عن الجمر,دانكن بيحترق ابعديه الجمر,,4,negative,-1,-1,negative,NEGATIVE
75,75,@aarz_70 اسوا شي قالو حقت ستاربكس,اسوا شي قالو حقت ستاربكس,,5,negative,-1,-1,negative,NEUTRAL
76,76,@aarz_70 حقت ستاربكس يقولون اسوأ شي,حقت ستاربكس يقولون اسوا شي,,5,negative,-1,-1,negative,NEUTRAL
77,77,@ab1r_ اقولك صفر تقول لي دانكن,اقولك تقول دانكن,,3,negative,-1,-1,negative,NEUTRAL
78,78,@Abdal_24h ستاربكس غالي والطعم ماش والله,ستاربكس غالي والطعم ماش والله,,5,negative,-1,-1,negative,NEGATIVE
79,79,@Abdullah_3298 @DunkinDonutsKSA شكل كل موضفين دانكن في جميع الفروع اسلوبهم زي الزفت,شكل موضفين دانكن الفروع اسلوبهم زي الزفت,,7,negative,-1,-1,negative,NEUTRAL
80,80,@abdullah_iazizi @Dunkincareksa دانكن اصبح سيء جظا ولون العجين غريب من جوا,دانكن سيء جظا ولون العجين غريب جوا,,7,negative,-1,-1,negative,NEGATIVE
81,81,@AbdullahK5 برضوه ينطبق هذا الكلام على دانكن ، لايوجد لها فروع هناك,برضوه ينطبق الكلام دانكن لايوجد فروع,,6,negative,-1,-1,negative,NEUTRAL
82,82,@abo_merail9 كنا سيئين والله ومافي الا فرصتين ١٢٠ د مدري كيف فزنا,كنا سيئين والله ومافي فرصتين مدري فزنا,,7,negative,-1,-1,negative,NEGATIVE
83,83,"@abodyy114 للاسف
لان كان مكانها قهوة ستاربكس",للاسف لان مكانها قهوة ستاربكس,,5,negative,-1,-1,negative,NEGATIVE
84,84,@abood200230 وبكون كلبة لو بطلب نسكافيه من اي كافيه بالكلية,وبكون كلبة بطلب نسكافيه كافيه بالكلية,,6,positive,-1,1,negative,NEUTRAL
85,85,@AboodSmren7 نسكافيه مالح اي ده,نسكافيه مالح ده,,3,positive,-1,1,negative,NEGATIVE
86,86,@Abuggggggggg @nvqnr يرجال زحمه وقرف وشكليات بنات ستاربكس شارع تركي بكل مكان تلقاهم بالرياض 😷,يرجال زحمه وقرف وشكليات بنات ستاربكس شارع تركي بكل مكان تلقاهم بالرياض,['😷'],12,negative,-1,-1,negative,NEUTRAL
87,87,"@adel_a_e 80% 
أخذ اجواء الاغاني بالمكان كـ تكملة لديكور الكوفي للأسف.. وال30% الباقي ..ستاربكس &amp; دانكن &amp; كوستا الي ما يحطون اغاني",اخذ اجواء الاغاني بالمكان تكملة لديكور الكوفي للاسف وال الباقي ستاربكس amp دانكن amp كوستا يحطون اغاني,,17,negative,-1,-1,negative,NEUTRAL
88,88,@AELshamy93 دانكن دونتس دا اصلا اوفر ريتد .. الدونتس اصلا اوفر ريتد وروشنة اندر ايدج معرفش بياكلوها ازاي !,دانكن دونتس دا اصلا اوفر ريتد الدونتس اصلا اوفر ريتد وروشنة اندر ايدج معرفش بياكلوها ازاي,,16,positive,-1,1,negative,MIXED
89,89,@AF20o0 دانكن جربتها حرفياً مويه بس زمان مره,دانكن جربتها حرفيا مويه زمان مره,,6,negative,-1,-1,positive,NEGATIVE
90,90,@ahadjameelon اخترت دانكن بالغلط، زل اصبعي,اخترت دانكن بالغلط زل اصبعي,,5,negative,-1,-1,neutral,NEUTRAL
91,91,@ahsokadrex اي جربت ستاربكس بس ماتخيل نفس هالطعم يتحسن😵,جربت ستاربكس ماتخيل هالطعم يتحسن,['😵'],5,negative,-1,-1,positive,NEUTRAL
92,92,@akz1n ههههههههههههههههه  V60 مو ب دانكن,ههههههههههههههههه V مو دانكن,,4,negative,-1,-1,neutral,NEUTRAL
93,93,@al_batooll جربت حق ستاربكس وما عجبني بعطيه فرصه تانيه🫂,جربت حق ستاربكس عجبني بعطيه فرصه تانيه,['\U0001fac2'],7,positive,-1,1,neutral,POSITIVE
94,94,@al17u أي شي الا ستاربكس وجافا كافيه الله يكرم النعمة,شي ستاربكس وجافا كافيه الله يكرم النعمة,,7,positive,-1,1,positive,POSITIVE
95,95,@al17u بستغرب من الي يحبوا ستاربكس بصراحة مشروباته ابدا مو طيبة,بستغرب يحبوا ستاربكس بصراحة مشروباته ابدا مو طيبة,,8,positive,-1,1,negative,POSITIVE
96,96,@al17u ستاربكس اسوا مشروب كل قهوتهم سكر يازين بارنز بس,ستاربكس اسوا مشروب قهوتهم سكر يازين بارنز,,7,positive,-1,1,negative,NEUTRAL
97,97,@al17u ماحب قهوة ستاربكس,ماحب قهوة ستاربكس,,3,positive,-1,1,neutral,POSITIVE
98,98,"@Alaa_ibrahim6 قولتلها عايز ايس كوفى بس 
هى مش وحشه طعمها نسكافيه بلاك بشويه تلج",قولتلها عايز ايس كوفى هى مش وحشه طعمها نسكافيه بلاك بشويه تلج,,12,positive,-1,1,negative,NEGATIVE
99,99,@alaklag122 ماخب دانكن ابد ابد عجزت اتقبله,ماخب دانكن ابد ابد عجزت اتقبله,,6,negative,-1,-1,positive,NEUTRAL
100,100,@alamil_33 حتى دانكن دونتس فاضي ههههههه ليتهم على طول اجازه,دانكن دونتس فاضي ههههههه ليتهم طول اجازه,,7,negative,-1,-1,negative,MIXED
101,101,@alanou_3 @jussts4 على دانكن والحافظ الله,دانكن والحافظ الله,,3,negative,-1,-1,positive,POSITIVE
102,102,@Albahaprojects @DarMakaha @DunkinDonutsKSA الي يحط الاماكن معوق يعني مشروع زي دانكن تحطه في بلجرشي الله ياخذكم,يحط الاماكن معوق يعني مشروع زي دانكن تحطه بلجرشي الله ياخذكم,,11,negative,-1,-1,negative,NEGATIVE
103,103,@albairq_t دانكن فقط البلاك غيره كله شغل مقاهي المحطات 😂,دانكن البلاك غيره كله شغل مقاهي المحطات,['😂'],7,negative,-1,-1,negative,NEUTRAL
104,104,@albatool_ صح؟ زيي! لين ستاربكس رفضوا طلبي,صح زيي لين ستاربكس رفضوا طلبي,,6,negative,-1,-1,neutral,NEGATIVE
105,105,@AlhosamK اساساً دانكن مايبيعون V60 فشلنا ذا هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,اساسا دانكن مايبيعون V فشلنا هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,,6,negative,-1,-1,negative,NEUTRAL
106,106,@Ali7NYC هو عادي حقك تلعن ستاربكس بس ليش😂😂😂,عادي حقك تلعن ستاربكس ليش,['😂'],5,negative,-1,-1,negative,NEUTRAL
107,107,@alialmandhari1 اها، اتوقع جمهور البيك اليوم نفس دانكن ما يعرفوا شيء عن هذه,اها اتوقع جمهور البيك دانكن يعرفوا شيء,,7,negative,-1,-1,neutral,NEUTRAL
108,108,@Alito_NBA غارنيت على دانكن؟! قل انك مشخصن وخلاص,غارنيت دانكن قل انك مشخصن وخلاص,,6,negative,-1,-1,neutral,NEUTRAL
109,109,@almaydanedu اوتش ليه كيف برجع اتنمر على السو. د اللي بالمدرسة 😢؟,اوتش ليه برجع اتنمر السو اللي بالمدرسة,['😢'],7,negative,-1,-1,negative,NEUTRAL
110,110,@almuqawlat @Al_saaadah @gorgeous4ew ههههههههههه دانكن واجد عليها كاشير ماك ويخب عليها😂,ههههههههههه دانكن واجد كاشير ماك ويخب,['😂'],6,negative,-1,-1,negative,NEUTRAL
111,111,@alnfi3iii اصلا دانكن مايبيع v60,اصلا دانكن مايبيع v,,4,negative,-1,-1,negative,NEGATIVE
112,112,@alnfi3iii اصلا مافي v60 في دانكن 😭😂😂😂,اصلا مافي v دانكن,"['😭', '😂']",4,negative,-1,-1,negative,NEGATIVE
113,113,@alnfi3iii المشكلة دانكن ماعنده v60,المشكلة دانكن ماعنده v,,4,negative,-1,-1,negative,NEGATIVE
114,114,@alsairwjdangma1 دانكن قهوتهم ماش طعمها صار غريب زمان كنت اشبح لهم الحين لو بلاش ما اجيهم,دانكن قهوتهم ماش طعمها غريب زمان كنت اشبح الحين بلاش اجيهم,,11,negative,-1,-1,negative,NEUTRAL
115,115,@alwaily_7 @pedrmssi كيف تشرب ستاربكس مضر لصحتك,تشرب ستاربكس مضر لصحتك,,4,positive,-1,1,neutral,NEGATIVE
116,116,@aly167 للاسف مبنحبش نسكافيه,للاسف مبنحبش نسكافيه,,3,negative,-1,-1,negative,NEGATIVE
117,117,@Ameeni 😭😭😭لا سرت جود عقب ستاربكس,سرت جود عقب ستاربكس,['😭'],4,positive,-1,1,neutral,NEUTRAL
118,118,@Ameliepoulainj قهوة دانكن ايا كانت رديئة اوي بجد,قهوة دانكن ايا رديئة اوي بجد,,6,negative,-1,-1,negative,NEGATIVE
119,119,@AMF0_ طيب فيه خيارات افضل ليه ستاربكس ليه,طيب خيارات افضل ليه ستاربكس ليه,,6,positive,-1,1,neutral,POSITIVE
120,120,@anaL0100 اي الاغلب مايمدح حق ستاربكس,الاغلب مايمدح حق ستاربكس,,4,negative,-1,-1,negative,NEGATIVE
121,121,@angelaudii والله مشروبات دانكن كله ما تنشرب,والله مشروبات دانكن كله تنشرب,,5,negative,-1,-1,negative,NEGATIVE
122,122,@angellbeb صاحبتي قالت ستاربكس اسوا مكان للماتشا,صاحبتي قالت ستاربكس اسوا مكان للماتشا,,6,positive,-1,1,negative,NEUTRAL
123,123,@anglo714 ستاربكس كله غالي اللعنه,ستاربكس كله غالي اللعنه,,4,negative,-1,-1,negative,NEGATIVE
124,124,@AppMrsool @meem لا ابغا اطلب من هاف مليون وابي كود له,ابغا اطلب هاف وابي كود,,5,negative,-1,-1,neutral,NEUTRAL
125,125,@AppMrsool ايش الفايدة اذا ستاربكس مش فيه من العروض ذي,ايش الفايدة ستاربكس مش العروض,,5,negative,-1,-1,negative,NEGATIVE
126,126,@AppMrsool طلبت طلب من دانكن عن طريق مرسول وكان الطلب. الاي وصلني مخالف للمطلوب ورفعت شكوى ولم يتم تعويضي عن الطلب https://t.co/xJx8kXXyGx,طلبت طلب دانكن طريق مرسول الطلب الاي وصلني مخالف للمطلوب ورفعت شكوى يتم تعويضي الطلب,,15,negative,-1,-1,neutral,NEGATIVE
127,127,@aquathyst10 بارنز طبعا ستار اسوء مكان قهوه بالحياه كلها,بارنز طبعا ستار اسوء مكان قهوه بالحياه كلها,,8,negative,-1,-1,negative,NEGATIVE
128,128,@AR26__ جربيها معي ومو من ستاربكس اكبر غلط,جربيها معي ومو ستاربكس اكبر غلط,,6,negative,-1,-1,negative,NEGATIVE
129,129,@Arwa_Alghamdi1 ترا كثير يقولون حق ستاربكس مو مرا,ترا كثير يقولون حق ستاربكس مو مرا,,7,negative,-1,-1,negative,NEUTRAL
130,130,@arxw7 جربته مرة من ستاربكس طعم حنة 🤢,جربته مرة ستاربكس طعم حنة,['🤢'],5,positive,-1,1,positive,NEGATIVE
131,131,@ASHGOVITCH من ستاربكس طلع طعمها حناء,ستاربكس طلع طعمها حناء,,4,positive,-1,1,negative,NEGATIVE
132,132,@AshrafElroby2 لا القهوة مش عجبتني كان فيها حبهان كتير شربت نسكافية 😅😅,القهوة مش عجبتني حبهان كتير شربت نسكافية,['😅'],7,positive,-1,1,negative,NEGATIVE
133,133,@ask_tabuk2030 ستاربكس جربت ماتشا لاتيه فانيلا بس نصيحه لاتجربين🫣,ستاربكس جربت ماتشا لاتيه فانيلا نصيحه لاتجربين,,7,negative,-1,-1,neutral,NEUTRAL
134,134,@Asm6F انا اشتريها بخشم الريال لكن ماعندنا دانكن 😔,انا اشتريها بخشم الريال ماعندنا دانكن,['😔'],6,negative,-1,-1,negative,NEUTRAL
135,135,"@Asma03714749 اااااه😭
وقعدت احلفله ساعتين اني مش كييفة قهوة ولا نسكافيه 😾",اااااه وقعدت احلفله ساعتين اني مش كييفة قهوة نسكافيه,"['😭', '😾']",9,positive,-1,1,negative,NEGATIVE
136,136,@Asmaa_otb اكثر شي زعلت عليه دانكن ماتوقعتها منهم الغدره 😔,شي زعلت دانكن ماتوقعتها منهم الغدره,['😔'],6,negative,-1,-1,negative,NEUTRAL
137,137,@AsmaaElayyan صح وكان خبه ستاربكس وقز حزتها هناك وزحمه,صح خبه ستاربكس وقز حزتها وزحمه,,6,negative,-1,-1,negative,NEGATIVE
138,138,@asmakhila ستاربكس ده هيبقى قهوه بلدي بعد كده 😂😂,ستاربكس ده هيبقى قهوه بلدي كده,['😂'],6,positive,-1,1,positive,POSITIVE
139,139,@AsShamrii لا اله اللي فيها كوب وتستخدم بن من دانكن تطحنه,اله اللي كوب وتستخدم دانكن تطحنه,,6,positive,-1,1,neutral,NEUTRAL
140,140,@AterElgana1 نسكافيه اصلي ولا بودرة بلاط,نسكافيه اصلي بودرة بلاط,,4,positive,-1,1,positive,NEUTRAL
141,141,@ATHARI_ALF صباح الأجواء الجميلة يبي لها coffee بس مو من ستاربكس 🤢,الاجواء الجميلة يبي coffee مو ستاربكس,['🤢'],6,positive,-1,1,positive,POSITIVE
142,142,@atsleo_ @midnightRaiiny والله لذيذه مره  حقت ستاربكس طعم حناااا بس ذي لا,والله لذيذه مره حقت ستاربكس طعم حناااا,,7,negative,-1,-1,positive,POSITIVE
143,143,@awbtal مق دانكن ورايح لستاربكس يلعنم القدحه,مق دانكن ورايح لستاربكس يلعنم القدحه,,6,negative,-1,-1,negative,NEUTRAL
144,144,@badbitchavrill دانكن كله خرا مو شي جديد,دانكن كله خرا مو شي جديد,,6,negative,-1,-1,negative,NEUTRAL
145,145,@bakasoulra @snowliez اهخ تفتكري يوم جربته من ستاربكس وكلمتك طعمه وقتها كان خيارر لان طلبت ماتشا ساده يعني مويه وماتشا بس🫣,اهخ تفتكري جربته ستاربكس وكلمتك طعمه وقتها خيارر لان طلبت ماتشا ساده يعني مويه وماتشا,,15,positive,-1,1,neutral,NEUTRAL
146,146,"@Ban00651417 للأسف ما بحبها بتعملي لعية  
لهيك نسكافيه و بسس",للاسف بحبها بتعملي لعية لهيك نسكافيه بسس,,7,negative,-1,-1,negative,NEGATIVE
147,147,@basilbesoABAB طايحين الناس في دانكن 😐,طايحين الناس دانكن,['😐'],3,negative,-1,-1,negative,POSITIVE
148,148,@batgirlasap طيب صدق شفيك!! دانكن وترفضين مستحيل,طيب صدق شفيك دانكن وترفضين مستحيل,,6,negative,-1,-1,negative,MIXED
