Tweet,Tweet_cleaned,Emojis,Tweet_len,sentiment,Annotation,label,my_sentiment
"@30junH حطي نسكافيه مع الشامبو واغسليه زين 
حاولي الشامبو يكون ثقيل",حطي نسكافيه الشامبو واغسليه زين حاولي الشامبو ثقيل,,8,positive,-1,1,1
@3anbarpasha شربت نسكافيه بس مش عامل حاجه 😅,شربت نسكافيه مش عامل حاجه,['😅'],5,positive,-1,1,1
@4iicf اسوء ماتشا حقت ستاربكس !,اسوء ماتشا حقت ستاربكس,,4,negative,-1,-1,-1
@4Makiz ههههههههههههههههههههههههههه ماعرف اطلب من ستاربكس لاني ماحبه,ههههههههههههههههههههههههههه ماعرف اطلب ستاربكس لاني ماحبه,,6,negative,-1,-1,-1
@5vifl حتى دانكن ماعطانا شيء هالسنه,دانكن ماعطانا شيء هالسنه,,4,negative,-1,-1,-1
@6_ile1 انا مايعجبني دانكن استار بكس احلى,ile انا مايعجبني دانكن استار بكس احلى,,7,negative,-1,-1,-1
@6o6aXx ماتشا ستاربكس لسى ماجربته تقييمك لطعم الحنا؟ https://t.co/kcKLy7hJds,ماتشا ستاربكس لسى ماجربته تقييمك لطعم الحنا,,7,negative,-1,-1,-1
@6oux1 ستاربكس دايم اخر الحلول,ستاربكس دايم اخر الحلول,,4,negative,-1,-1,-1
@76ixz المحنه اللي يشتري من دانكن الله يديم النعمه,المحنه اللي يشتري دانكن الله يديم النعمه,,7,positive,-1,1,1
@7Calisi بالأساس الأمريكانو سيء فما بالك إذا كان من عند ستاربكس,بالاساس الامريكانو سيء فما بالك ستاربكس,,6,negative,-1,-1,-1
@7ItsNotMe ذقت حق دانكن بعد ثلاث توصيات وطلع سيء,ذقت حق دانكن توصيات وطلع سيء,,6,negative,-1,-1,-1
@7sitfc_ V60 ومن دانكن بعد انا قايل ان ذا سبك من زماان,V دانكن انا قايل سبك زماان,,6,negative,-1,-1,-1
@7sitfc_ المشكله دانكن ماعندهم v60😭😭😭,المشكله دانكن ماعندهم v,['😭'],4,negative,-1,-1,-1
@7sitfc_ تدري وش المشكله ؟ دانكن مايبيع V60,تدري وش المشكله دانكن مايبيع V,,6,negative,-1,-1,-1
"@7TTTK كيس نسكافيه وطلع منتهي الصلاحيه وكبتو
🙁😭 وما شربت نسكافية",كيس نسكافيه وطلع منتهي الصلاحيه وكبتو شربت نسكافية,"['🙁', '😭']",8,positive,-1,1,1
@7uitd مااحب اجرب شي من دانكن غير البلاك,مااحب اجرب شي دانكن البلاك,,5,negative,-1,-1,-1
@84_voov ياحض دانكن✨🥺,voov ياحض دانكن,"['✨', '🥺']",3,negative,-1,-1,1
@8xiz3 اي احس ستاربكس ماش ماضبطوه عشان كذا ماعجبني,احس ستاربكس ماش ماضبطوه عشان ماعجبني,,6,negative,-1,-1,-1
@a_alfadle9 صدقيني كان اخس ستاربكس شربته😔..,صدقيني اخس ستاربكس شربته,['😔'],4,positive,-1,1,-1
@A_Alwohaibi @FarajFE كأنكم ماتدرون ان ستاربكس صارت من ضمن صندوق الاستثمار السعودي,كانكم ماتدرون ستاربكس صارت صندوق الاستثمار السعودي,,7,negative,-1,-1,-1
@a_blli كيف تاخذه من ستاربكس اين عقلك,تاخذه ستاربكس اين عقلك,,4,positive,-1,1,-1
@A_nnmf نفس نظام ستاربكس اللي دفعت لهم 47 على عصير طعمه كرتون,نظام ستاربكس اللي دفعت عصير طعمه كرتون,,7,positive,-1,1,1
@A8_Bor3i @Chezor12 شف خذها قاعد في حياتك لاتطلب اي مشروب بارد من دانكن,شف خذها قاعد حياتك لاتطلب مشروب بارد دانكن,,8,negative,-1,-1,-1
@aaj331a مع انهم يسبون حق ستاربكس,انهم يسبون حق ستاربكس,,4,positive,-1,1,1
@aalshehrimd حامضه وتوجع المعده فيه اماكن افضل من دانكن.,حامضه وتوجع المعده اماكن افضل دانكن,,6,negative,-1,-1,-1
@aaq__50 دانكن بيحترق ابعديه عن الجمر,دانكن بيحترق ابعديه الجمر,,4,negative,-1,-1,-1
@aarz_70 اسوا شي قالو حقت ستاربكس,اسوا شي قالو حقت ستاربكس,,5,negative,-1,-1,-1
@aarz_70 حقت ستاربكس يقولون اسوأ شي,حقت ستاربكس يقولون اسوا شي,,5,negative,-1,-1,-1
@ab1r_ اقولك صفر تقول لي دانكن,اقولك تقول دانكن,,3,negative,-1,-1,-1
@Abdal_24h ستاربكس غالي والطعم ماش والله,ستاربكس غالي والطعم ماش والله,,5,negative,-1,-1,-1
@Abdullah_3298 @DunkinDonutsKSA شكل كل موضفين دانكن في جميع الفروع اسلوبهم زي الزفت,شكل موضفين دانكن الفروع اسلوبهم زي الزفت,,7,negative,-1,-1,-1
@abdullah_iazizi @Dunkincareksa دانكن اصبح سيء جظا ولون العجين غريب من جوا,دانكن سيء جظا ولون العجين غريب جوا,,7,negative,-1,-1,-1
@AbdullahK5 برضوه ينطبق هذا الكلام على دانكن ، لايوجد لها فروع هناك,برضوه ينطبق الكلام دانكن لايوجد فروع,,6,negative,-1,-1,-1
@abo_merail9 كنا سيئين والله ومافي الا فرصتين ١٢٠ د مدري كيف فزنا,كنا سيئين والله ومافي فرصتين مدري فزنا,,7,negative,-1,-1,-1
"@abodyy114 للاسف
لان كان مكانها قهوة ستاربكس",للاسف لان مكانها قهوة ستاربكس,,5,negative,-1,-1,-1
@abood200230 وبكون كلبة لو بطلب نسكافيه من اي كافيه بالكلية,وبكون كلبة بطلب نسكافيه كافيه بالكلية,,6,positive,-1,1,1
@AboodSmren7 نسكافيه مالح اي ده,نسكافيه مالح ده,,3,positive,-1,1,1
@Abuggggggggg @nvqnr يرجال زحمه وقرف وشكليات بنات ستاربكس شارع تركي بكل مكان تلقاهم بالرياض 😷,يرجال زحمه وقرف وشكليات بنات ستاربكس شارع تركي بكل مكان تلقاهم بالرياض,['😷'],12,negative,-1,-1,-1
"@adel_a_e 80% 
أخذ اجواء الاغاني بالمكان كـ تكملة لديكور الكوفي للأسف.. وال30% الباقي ..ستاربكس &amp; دانكن &amp; كوستا الي ما يحطون اغاني",اخذ اجواء الاغاني بالمكان تكملة لديكور الكوفي للاسف وال الباقي ستاربكس amp دانكن amp كوستا يحطون اغاني,,17,negative,-1,-1,-1
@AELshamy93 دانكن دونتس دا اصلا اوفر ريتد .. الدونتس اصلا اوفر ريتد وروشنة اندر ايدج معرفش بياكلوها ازاي !,دانكن دونتس دا اصلا اوفر ريتد الدونتس اصلا اوفر ريتد وروشنة اندر ايدج معرفش بياكلوها ازاي,,16,positive,-1,1,1
@AF20o0 دانكن جربتها حرفياً مويه بس زمان مره,دانكن جربتها حرفيا مويه زمان مره,,6,negative,-1,-1,-1
@ahadjameelon اخترت دانكن بالغلط، زل اصبعي,اخترت دانكن بالغلط زل اصبعي,,5,negative,-1,-1,-1
@ahsokadrex اي جربت ستاربكس بس ماتخيل نفس هالطعم يتحسن😵,جربت ستاربكس ماتخيل هالطعم يتحسن,['😵'],5,negative,-1,-1,-1
@akz1n ههههههههههههههههه  V60 مو ب دانكن,ههههههههههههههههه V مو دانكن,,4,negative,-1,-1,-1
@al_batooll جربت حق ستاربكس وما عجبني بعطيه فرصه تانيه🫂,جربت حق ستاربكس عجبني بعطيه فرصه تانيه,['\U0001fac2'],7,positive,-1,1,1
@al17u أي شي الا ستاربكس وجافا كافيه الله يكرم النعمة,شي ستاربكس وجافا كافيه الله يكرم النعمة,,7,positive,-1,1,1
@al17u بستغرب من الي يحبوا ستاربكس بصراحة مشروباته ابدا مو طيبة,بستغرب يحبوا ستاربكس بصراحة مشروباته ابدا مو طيبة,,8,positive,-1,1,1
@al17u ستاربكس اسوا مشروب كل قهوتهم سكر يازين بارنز بس,ستاربكس اسوا مشروب قهوتهم سكر يازين بارنز,,7,positive,-1,1,-1
@al17u ماحب قهوة ستاربكس,ماحب قهوة ستاربكس,,3,positive,-1,1,1
"@Alaa_ibrahim6 قولتلها عايز ايس كوفى بس 
هى مش وحشه طعمها نسكافيه بلاك بشويه تلج",قولتلها عايز ايس كوفى هى مش وحشه طعمها نسكافيه بلاك بشويه تلج,,12,positive,-1,1,1
@alaklag122 ماخب دانكن ابد ابد عجزت اتقبله,ماخب دانكن ابد ابد عجزت اتقبله,,6,negative,-1,-1,-1
@alamil_33 حتى دانكن دونتس فاضي ههههههه ليتهم على طول اجازه,دانكن دونتس فاضي ههههههه ليتهم طول اجازه,,7,negative,-1,-1,-1
@alanou_3 @jussts4 على دانكن والحافظ الله,دانكن والحافظ الله,,3,negative,-1,-1,-1
@Albahaprojects @DarMakaha @DunkinDonutsKSA الي يحط الاماكن معوق يعني مشروع زي دانكن تحطه في بلجرشي الله ياخذكم,يحط الاماكن معوق يعني مشروع زي دانكن تحطه بلجرشي الله ياخذكم,,11,negative,-1,-1,-1
@albairq_t دانكن فقط البلاك غيره كله شغل مقاهي المحطات 😂,دانكن البلاك غيره كله شغل مقاهي المحطات,['😂'],7,negative,-1,-1,-1
@albatool_ صح؟ زيي! لين ستاربكس رفضوا طلبي,صح زيي لين ستاربكس رفضوا طلبي,,6,negative,-1,-1,1
@AlhosamK اساساً دانكن مايبيعون V60 فشلنا ذا هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,اساسا دانكن مايبيعون V فشلنا هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,,6,negative,-1,-1,-1
@Ali7NYC هو عادي حقك تلعن ستاربكس بس ليش😂😂😂,عادي حقك تلعن ستاربكس ليش,['😂'],5,negative,-1,-1,-1
@alialmandhari1 اها، اتوقع جمهور البيك اليوم نفس دانكن ما يعرفوا شيء عن هذه,اها اتوقع جمهور البيك دانكن يعرفوا شيء,,7,negative,-1,-1,-1
@Alito_NBA غارنيت على دانكن؟! قل انك مشخصن وخلاص,غارنيت دانكن قل انك مشخصن وخلاص,,6,negative,-1,-1,-1
@almaydanedu اوتش ليه كيف برجع اتنمر على السو. د اللي بالمدرسة 😢؟,اوتش ليه برجع اتنمر السو اللي بالمدرسة,['😢'],7,negative,-1,-1,-1
@almuqawlat @Al_saaadah @gorgeous4ew ههههههههههه دانكن واجد عليها كاشير ماك ويخب عليها😂,ههههههههههه دانكن واجد كاشير ماك ويخب,['😂'],6,negative,-1,-1,-1
@alnfi3iii اصلا دانكن مايبيع v60,اصلا دانكن مايبيع v,,4,negative,-1,-1,-1
@alnfi3iii اصلا مافي v60 في دانكن 😭😂😂😂,اصلا مافي v دانكن,"['😭', '😂']",4,negative,-1,-1,-1
@alnfi3iii المشكلة دانكن ماعنده v60,المشكلة دانكن ماعنده v,,4,negative,-1,-1,-1
@alsairwjdangma1 دانكن قهوتهم ماش طعمها صار غريب زمان كنت اشبح لهم الحين لو بلاش ما اجيهم,دانكن قهوتهم ماش طعمها غريب زمان كنت اشبح الحين بلاش اجيهم,,11,negative,-1,-1,-1
@alwaily_7 @pedrmssi كيف تشرب ستاربكس مضر لصحتك,تشرب ستاربكس مضر لصحتك,,4,positive,-1,1,1
@aly167 للاسف مبنحبش نسكافيه,للاسف مبنحبش نسكافيه,,3,negative,-1,-1,1
@Ameeni 😭😭😭لا سرت جود عقب ستاربكس,سرت جود عقب ستاربكس,['😭'],4,positive,-1,1,1
@Ameliepoulainj قهوة دانكن ايا كانت رديئة اوي بجد,قهوة دانكن ايا رديئة اوي بجد,,6,negative,-1,-1,1
@AMF0_ طيب فيه خيارات افضل ليه ستاربكس ليه,طيب خيارات افضل ليه ستاربكس ليه,,6,positive,-1,1,1
@anaL0100 اي الاغلب مايمدح حق ستاربكس,الاغلب مايمدح حق ستاربكس,,4,negative,-1,-1,-1
@angelaudii والله مشروبات دانكن كله ما تنشرب,والله مشروبات دانكن كله تنشرب,,5,negative,-1,-1,-1
@angellbeb صاحبتي قالت ستاربكس اسوا مكان للماتشا,صاحبتي قالت ستاربكس اسوا مكان للماتشا,,6,positive,-1,1,1
@anglo714 ستاربكس كله غالي اللعنه,ستاربكس كله غالي اللعنه,,4,negative,-1,-1,-1
@AppMrsool @meem لا ابغا اطلب من هاف مليون وابي كود له,ابغا اطلب هاف وابي كود,,5,negative,-1,-1,-1
@AppMrsool ايش الفايدة اذا ستاربكس مش فيه من العروض ذي,ايش الفايدة ستاربكس مش العروض,,5,negative,-1,-1,-1
@AppMrsool طلبت طلب من دانكن عن طريق مرسول وكان الطلب. الاي وصلني مخالف للمطلوب ورفعت شكوى ولم يتم تعويضي عن الطلب https://t.co/xJx8kXXyGx,طلبت طلب دانكن طريق مرسول الطلب الاي وصلني مخالف للمطلوب ورفعت شكوى يتم تعويضي الطلب,,15,negative,-1,-1,-1
@aquathyst10 بارنز طبعا ستار اسوء مكان قهوه بالحياه كلها,بارنز طبعا ستار اسوء مكان قهوه بالحياه كلها,,8,negative,-1,-1,-1
@AR26__ جربيها معي ومو من ستاربكس اكبر غلط,جربيها معي ومو ستاربكس اكبر غلط,,6,negative,-1,-1,-1
@Arwa_Alghamdi1 ترا كثير يقولون حق ستاربكس مو مرا,ترا كثير يقولون حق ستاربكس مو مرا,,7,negative,-1,-1,-1
@arxw7 جربته مرة من ستاربكس طعم حنة 🤢,جربته مرة ستاربكس طعم حنة,['🤢'],5,positive,-1,1,1
@ASHGOVITCH من ستاربكس طلع طعمها حناء,ستاربكس طلع طعمها حناء,,4,positive,-1,1,-1
@AshrafElroby2 لا القهوة مش عجبتني كان فيها حبهان كتير شربت نسكافية 😅😅,القهوة مش عجبتني حبهان كتير شربت نسكافية,['😅'],7,positive,-1,1,1
@ask_tabuk2030 ستاربكس جربت ماتشا لاتيه فانيلا بس نصيحه لاتجربين🫣,ستاربكس جربت ماتشا لاتيه فانيلا نصيحه لاتجربين,,7,negative,-1,-1,-1
@Asm6F انا اشتريها بخشم الريال لكن ماعندنا دانكن 😔,انا اشتريها بخشم الريال ماعندنا دانكن,['😔'],6,negative,-1,-1,-1
"@Asma03714749 اااااه😭
وقعدت احلفله ساعتين اني مش كييفة قهوة ولا نسكافيه 😾",اااااه وقعدت احلفله ساعتين اني مش كييفة قهوة نسكافيه,"['😭', '😾']",9,positive,-1,1,1
@Asmaa_otb اكثر شي زعلت عليه دانكن ماتوقعتها منهم الغدره 😔,شي زعلت دانكن ماتوقعتها منهم الغدره,['😔'],6,negative,-1,-1,-1
@AsmaaElayyan صح وكان خبه ستاربكس وقز حزتها هناك وزحمه,صح خبه ستاربكس وقز حزتها وزحمه,,6,negative,-1,-1,-1
@asmakhila ستاربكس ده هيبقى قهوه بلدي بعد كده 😂😂,ستاربكس ده هيبقى قهوه بلدي كده,['😂'],6,positive,-1,1,1
@AsShamrii لا اله اللي فيها كوب وتستخدم بن من دانكن تطحنه,اله اللي كوب وتستخدم دانكن تطحنه,,6,positive,-1,1,1
@AterElgana1 نسكافيه اصلي ولا بودرة بلاط,نسكافيه اصلي بودرة بلاط,,4,positive,-1,1,1
@ATHARI_ALF صباح الأجواء الجميلة يبي لها coffee بس مو من ستاربكس 🤢,الاجواء الجميلة يبي coffee مو ستاربكس,['🤢'],6,positive,-1,1,1
@atsleo_ @midnightRaiiny والله لذيذه مره  حقت ستاربكس طعم حناااا بس ذي لا,والله لذيذه مره حقت ستاربكس طعم حناااا,,7,negative,-1,-1,-1
@awbtal مق دانكن ورايح لستاربكس يلعنم القدحه,مق دانكن ورايح لستاربكس يلعنم القدحه,,6,negative,-1,-1,-1
@badbitchavrill دانكن كله خرا مو شي جديد,دانكن كله خرا مو شي جديد,,6,negative,-1,-1,-1
@bakasoulra @snowliez اهخ تفتكري يوم جربته من ستاربكس وكلمتك طعمه وقتها كان خيارر لان طلبت ماتشا ساده يعني مويه وماتشا بس🫣,اهخ تفتكري جربته ستاربكس وكلمتك طعمه وقتها خيارر لان طلبت ماتشا ساده يعني مويه وماتشا,,15,positive,-1,1,-1
"@Ban00651417 للأسف ما بحبها بتعملي لعية  
لهيك نسكافيه و بسس",للاسف بحبها بتعملي لعية لهيك نسكافيه بسس,,7,negative,-1,-1,-1
@basilbesoABAB طايحين الناس في دانكن 😐,طايحين الناس دانكن,['😐'],3,negative,-1,-1,-1
@batgirlasap طيب صدق شفيك!! دانكن وترفضين مستحيل,طيب صدق شفيك دانكن وترفضين مستحيل,,6,negative,-1,-1,-1
@Batmankuwt دانكن اي شي منهم يسد النفس 🤮,دانكن شي منهم يسد النفس,['🤮'],5,negative,-1,-1,-1
@bbx129 كيمس قراي صار ممل,كيمس قراي ممل,,3,negative,-1,-1,-1
@bc86___ من شفت شعار ستاربكس الوضع متئزم,شفت شعار ستاربكس الوضع متئزم,,5,negative,-1,-1,-1
@Before_i_go1911 @getCOFE لي ٣ شهور اطلب من دانكن كل صبح ولا شفت اي خصم,شهور اطلب دانكن صبح شفت خصم,,6,negative,-1,-1,-1
@Belsheshtawy27 وزعو عليا امبارح نسكافيه بطعم النكد,وزعو عليا امبارح نسكافيه بطعم النكد,,6,positive,-1,1,1
@Beoonyyy حتى ستاربكس يدرون انك كئيبه قالو كيب سمايل,ستاربكس يدرون انك كئيبه قالو كيب سمايل,,7,positive,-1,1,-1
@beyankew حقت ستاربكس مره عليها شتم,حقت ستاربكس مره شتم,,4,negative,-1,-1,-1
@bklhq عاد حقت ستاربكس طعم نيدو,حقت ستاربكس طعم نيدو,,4,positive,-1,1,-1
@Blacko44 غالبًا دانكن مشروباته شينه الا البلاك,دانكن مشروباته شينه البلاك,,4,negative,-1,-1,-1
@bn___q8 ستاربكس معروف زحمه,ستاربكس معروف زحمه,,3,positive,-1,1,1
@bnt_gahtani اقل شي قهوة على الطريق 😂😂😂😂😂😂😂,اقل شي قهوة الطريق,['😂'],4,negative,-1,-1,-1
@Boshra_Elobidy2 @S3roo3 بشرى بلا سكر بكل هذا عذاب مش نسكافيه,بشرى بلا سكر بكل عذاب مش نسكافيه,,7,positive,-1,1,1
@Bourisly_1 ستاربكس من زمان مقاطعم الطعم كلش,ستاربكس زمان مقاطعم الطعم كلش,,5,negative,-1,-1,-1
@brhmc2 كل فروع دانكن حق السيارات كذا زحمة,فروع دانكن حق السيارات زحمة,,5,negative,-1,-1,-1
@bs_iio دانكن بعيد عليا شوي ستار تحت البيت 🌚,دانكن بعيد عليا شوي ستار البيت,['🌚'],6,negative,-1,-1,-1
@bshooring ذقت حق ستاربكس وكان طعمه برسيم,ذقت حق ستاربكس طعمه برسيم,,5,positive,-1,1,1
@buazar @fshkhel2i بقوصك بفنجان نسكافيه بطرطش دمك عل حيطان ها 😂😂😂,بقوصك بفنجان نسكافيه بطرطش دمك حيطان,['😂'],6,positive,-1,1,1
@Buduaij2 الكرك زادوه ...بس ما ادري عن ستاربكس لاني مب من زباينه,الكرك زادوه ادري ستاربكس لاني مب زباينه,,7,negative,-1,-1,-1
@callmemmommyy مريت دانكن ماعندهم اش دا,مريت دانكن ماعندهم اش دا,,5,negative,-1,-1,-1
@cc_ss_26 @janoubi_yanbu ما جربت مشويات الاسطوره بلا ستاربكس بلا خرابيط,جربت مشويات الاسطوره بلا ستاربكس بلا خرابيط,,7,positive,-1,1,1
@CelebsArabic جربته من ستاربكس وندمت اني ما حطيت معه اي اضافات طلع طعمه كأنه سدر,جربته ستاربكس وندمت اني حطيت اضافات طلع طعمه كانه سدر,,10,negative,-1,-1,-1
@Chiekietta ماحب مال ستاربكس 😭,ماحب مال ستاربكس,['😭'],3,negative,-1,-1,-1
@cn3ls ستاربكس انتي وحظك حرفياً حسب الموظف يزبطه لك او لا,ستاربكس انتي وحظك حرفيا الموظف يزبطه,,6,negative,-1,-1,1
@coach_wareef أنا عني أتسلط على الإسكريمات أو مشروبات ستاربكس الباردة🦦,انا عني اتسلط الاسكريمات مشروبات ستاربكس الباردة,['🦦'],7,negative,-1,-1,-1
"@Cr7piilv المختصه تمزرك بالاسعار 
الله يعز دانكن",المختصه تمزرك بالاسعار الله يعز دانكن,,6,negative,-1,-1,-1
@Culluni_ اي حقت ستاربكس مرا ماعجبتني انا كمان,حقت ستاربكس مرا ماعجبتني انا كمان,,6,negative,-1,-1,-1
